Browser	November	December	change	Sha-1 certs?
IE (all)	15.45%	15.16%	-0.29%	No announced plans to block SHA-1 certs
IE11	10.40%	10.26%	-0.14%	No announced plans to block SHA-1 certs
IE10	1.44%	1.37%	-0.07%	No announced plans to block SHA-1 certs
IE9	1.48%	1.44%	-0.04%	No announced plans to block SHA-1 certs
IE6/7/8	2.13%	2.09%	-0.04%	No announced plans to block SHA-1 certs
Edge	1.21%	1.46%	+0.25%	Planned to block SHA-1 certs
Chrome	54.27%	53.71%	-0.56%	Planned to block SHA-1 certs
Firefox	14.70%	14.29%	-0.41%	Planned to block SHA-1 certs
Safari	4.29%	4.85%	+0.56%	No announced plans to block SHA-1 certs
iPad Safari	5.05%	5.08%	+0.03%	No announced plans to block SHA-1 certs
Opera	1.77%	2.07%	+0.30%	No announced plans to block SHA-1 certs
Others	3.26%	3.38%	+0.12%	Unknown
